warehouse_id,warehouse_id_raw,demand_region,ship_cost_per_unit_usd,lead_time_days
WH-E100632,WH-W100632,North,0.52,4
WH-W100633,WH-W100633,South,0.72,4
WH-C100634,WH-W100634,East,1.39,1
WH-N100635,WH-W100635,West,0.67,3
WH-S100636,WH-C100636,North,1.55,2
WH-E100637,WH-C100637,South,2.48,1
WH-W100638,WH-C100638,East,0.98,3
WH-C100639,WH-C100639,West,1.14,2
WH-N100640,WH-N100640,North,1.08,2
WH-S100641,WH-N100641,South,2.7,2
WH-E100642,WH-N100642,East,1.09,3
WH-W100643,WH-N100643,West,0.63,1
WH-C100644,WH-S100644,North,1.43,3
WH-N100645,WH-S100645,South,1.43,3
WH-S100646,WH-S100646,East,2.42,2
WH-E100647,WH-S100647,West,1.15,4
WH-W100648,WH-E100648,North,2.33,2
WH-C100649,WH-E100649,South,2.48,1
WH-N100650,WH-E100650,East,2.63,1
WH-S100651,WH-E100651,West,1.58,2
WH-E100652,WH-W100652,North,0.52,4
WH-W100653,WH-W100653,South,0.72,4
WH-C100654,WH-W100654,East,1.39,1
WH-N100655,WH-W100655,West,0.67,3
WH-S100656,WH-C100656,North,1.55,2
WH-E100657,WH-C100657,South,2.48,1
WH-W100658,WH-C100658,East,0.98,3
WH-C100659,WH-C100659,West,1.14,2
WH-N100660,WH-N100660,North,1.08,2
WH-S100661,WH-N100661,South,2.7,2
WH-E100662,WH-N100662,East,1.09,3
WH-W100663,WH-N100663,West,0.63,1
WH-C100664,WH-S100664,North,1.43,3
WH-N100665,WH-S100665,South,1.43,3
WH-S100666,WH-S100666,East,2.42,2
WH-E100667,WH-S100667,West,1.15,4
WH-W100668,WH-E100668,North,2.33,2
WH-C100669,WH-E100669,South,2.48,1
WH-N100670,WH-E100670,East,2.63,1
WH-S100671,WH-E100671,West,1.58,2
WH-E100672,WH-W100672,North,0.52,4
WH-W100673,WH-W100673,South,0.72,4
WH-C100674,WH-W100674,East,1.39,1
WH-N100675,WH-W100675,West,0.67,3
WH-S100676,WH-C100676,North,1.55,2
WH-E100677,WH-C100677,South,2.48,1
WH-W100678,WH-C100678,East,0.98,3
WH-C100679,WH-C100679,West,1.14,2
WH-N100680,WH-N100680,North,1.08,2
WH-S100681,WH-N100681,South,2.7,2
WH-E100682,WH-N100682,East,1.09,3
WH-W100683,WH-N100683,West,0.63,1
WH-C100684,WH-S100684,North,1.43,3
WH-N100685,WH-S100685,South,1.43,3
WH-S100686,WH-S100686,East,2.42,2
WH-E100687,WH-S100687,West,1.15,4
WH-W100688,WH-E100688,North,2.33,2
WH-C100689,WH-E100689,South,2.48,1
WH-N100690,WH-E100690,East,2.63,1
WH-S100691,WH-E100691,West,1.58,2
WH-E100692,WH-W100692,North,0.52,4
WH-W100693,WH-W100693,South,0.72,4
WH-C100694,WH-W100694,East,1.39,1
WH-N100695,WH-W100695,West,0.67,3
WH-S100696,WH-C100696,North,1.55,2
WH-E100697,WH-C100697,South,2.48,1
WH-W100698,WH-C100698,East,0.98,3
WH-C100699,WH-C100699,West,1.14,2
WH-N100700,WH-N100700,North,1.08,2
WH-S100701,WH-N100701,South,2.7,2
WH-E100702,WH-N100702,East,1.09,3
WH-W100703,WH-N100703,West,0.63,1
WH-C100704,WH-S100704,North,1.43,3
WH-N100705,WH-S100705,South,1.43,3
WH-S100706,WH-S100706,East,2.42,2
WH-E100707,WH-S100707,West,1.15,4
WH-W100708,WH-E100708,North,2.33,2
WH-C100709,WH-E100709,South,2.48,1
WH-N100710,WH-E100710,East,2.63,1
WH-S100711,WH-E100711,West,1.58,2
WH-E100712,WH-W100712,North,0.52,4
WH-W100713,WH-W100713,South,0.72,4
WH-C100714,WH-W100714,East,1.39,1
WH-N100715,WH-W100715,West,0.67,3
WH-S100716,WH-C100716,North,1.55,2
WH-E100717,WH-C100717,South,2.48,1
WH-W100718,WH-C100718,East,0.98,3
WH-C100719,WH-C100719,West,1.14,2
WH-N100720,WH-N100720,North,1.08,2
WH-S100721,WH-N100721,South,2.7,2
WH-E100722,WH-N100722,East,1.09,3
WH-W100723,WH-N100723,West,0.63,1
WH-C100724,WH-S100724,North,1.43,3
WH-N100725,WH-S100725,South,1.43,3
WH-S100726,WH-S100726,East,2.42,2
WH-E100727,WH-S100727,West,1.15,4
WH-W100728,WH-E100728,North,2.33,2
WH-C100729,WH-E100729,South,2.48,1
WH-N100730,WH-E100730,East,2.63,1
WH-S100731,WH-E100731,West,1.58,2
WH-E100732,WH-W100732,North,0.52,4
WH-W100733,WH-W100733,South,0.72,4
WH-C100734,WH-W100734,East,1.39,1
WH-N100735,WH-W100735,West,0.67,3
WH-S100736,WH-C100736,North,1.55,2
WH-E100737,WH-C100737,South,2.48,1
WH-W100738,WH-C100738,East,0.98,3
WH-C100739,WH-C100739,West,1.14,2
WH-N100740,WH-N100740,North,1.08,2
WH-S100741,WH-N100741,South,2.7,2
WH-E100742,WH-N100742,East,1.09,3
WH-W100743,WH-N100743,West,0.63,1
WH-C100744,WH-S100744,North,1.43,3
WH-N100745,WH-S100745,South,1.43,3
WH-S100746,WH-S100746,East,2.42,2
WH-E100747,WH-S100747,West,1.15,4
WH-W100748,WH-E100748,North,2.33,2
WH-C100749,WH-E100749,South,2.48,1
WH-N100750,WH-E100750,East,2.63,1
WH-S100751,WH-E100751,West,1.58,2
WH-E100752,WH-W100752,North,0.52,4
WH-W100753,WH-W100753,South,0.72,4
WH-C100754,WH-W100754,East,1.39,1
WH-N100755,WH-W100755,West,0.67,3
WH-S100756,WH-C100756,North,1.55,2
WH-E100757,WH-C100757,South,2.48,1
WH-W100758,WH-C100758,East,0.98,3
WH-C100759,WH-C100759,West,1.14,2
WH-N100760,WH-N100760,North,1.08,2
WH-S100761,WH-N100761,South,2.7,2
WH-E100762,WH-N100762,East,1.09,3
WH-W100763,WH-N100763,West,0.63,1
WH-C100764,WH-S100764,North,1.43,3
WH-N100765,WH-S100765,South,1.43,3
WH-S100766,WH-S100766,East,2.42,2
WH-E100767,WH-S100767,West,1.15,4
WH-W100768,WH-E100768,North,2.33,2
WH-C100769,WH-E100769,South,2.48,1
WH-N100770,WH-E100770,East,2.63,1
WH-S100771,WH-E100771,West,1.58,2
WH-E100772,WH-W100772,North,0.52,4
WH-W100773,WH-W100773,South,0.72,4
WH-C100774,WH-W100774,East,1.39,1
WH-N100775,WH-W100775,West,0.67,3
WH-S100776,WH-C100776,North,1.55,2
WH-E100777,WH-C100777,South,2.48,1
WH-W100778,WH-C100778,East,0.98,3
WH-C100779,WH-C100779,West,1.14,2
WH-N100780,WH-N100780,North,1.08,2
WH-S100781,WH-N100781,South,2.7,2
WH-E100782,WH-N100782,East,1.09,3
WH-W100783,WH-N100783,West,0.63,1
WH-C100784,WH-S100784,North,1.43,3
WH-N100785,WH-S100785,South,1.43,3
WH-S100786,WH-S100786,East,2.42,2
WH-E100787,WH-S100787,West,1.15,4
WH-W100788,WH-E100788,North,2.33,2
WH-C100789,WH-E100789,South,2.48,1
WH-N100790,WH-E100790,East,2.63,1
WH-S100791,WH-E100791,West,1.58,2
WH-E100792,WH-W100792,North,0.52,4
WH-W100793,WH-W100793,South,0.72,4
WH-C100794,WH-W100794,East,1.39,1
WH-N100795,WH-W100795,West,0.67,3
WH-S100796,WH-C100796,North,1.55,2
WH-E100797,WH-C100797,South,2.48,1
WH-W100798,WH-C100798,East,0.98,3
WH-C100799,WH-C100799,West,1.14,2
WH-N100800,WH-N100800,North,1.08,2
WH-S100801,WH-N100801,South,2.7,2
WH-E100802,WH-N100802,East,1.09,3
WH-W100803,WH-N100803,West,0.63,1
WH-C100804,WH-S100804,North,1.43,3
WH-N100805,WH-S100805,South,1.43,3
WH-S100806,WH-S100806,East,2.42,2
WH-E100807,WH-S100807,West,1.15,4
WH-W100808,WH-E100808,North,2.33,2
WH-C100809,WH-E100809,South,2.48,1
WH-N100810,WH-E100810,East,2.63,1
WH-S100811,WH-E100811,West,1.58,2
WH-E100812,WH-W100812,North,0.52,4
WH-W100813,WH-W100813,South,0.72,4
WH-C100814,WH-W100814,East,1.39,1
WH-N100815,WH-W100815,West,0.67,3
WH-S100816,WH-C100816,North,1.55,2
WH-E100817,WH-C100817,South,2.48,1
WH-W100818,WH-C100818,East,0.98,3
WH-C100819,WH-C100819,West,1.14,2
WH-N100820,WH-N100820,North,1.08,2
WH-S100821,WH-N100821,South,2.7,2
WH-E100822,WH-N100822,East,1.09,3
WH-W100823,WH-N100823,West,0.63,1
WH-C100824,WH-S100824,North,1.43,3
WH-N100825,WH-S100825,South,1.43,3
WH-S100826,WH-S100826,East,2.42,2
WH-E100827,WH-S100827,West,1.15,4
WH-W100828,WH-E100828,North,2.33,2
WH-C100829,WH-E100829,South,2.48,1
WH-N100830,WH-E100830,East,2.63,1
WH-S100831,WH-E100831,West,1.58,2
WH-E100832,WH-W100832,North,0.52,4
WH-W100833,WH-W100833,South,0.72,4
WH-C100834,WH-W100834,East,1.39,1
WH-N100835,WH-W100835,West,0.67,3
WH-S100836,WH-C100836,North,1.55,2
WH-E100837,WH-C100837,South,2.48,1
WH-W100838,WH-C100838,East,0.98,3
WH-C100839,WH-C100839,West,1.14,2
WH-N100840,WH-N100840,North,1.08,2
WH-S100841,WH-N100841,South,2.7,2
WH-E100842,WH-N100842,East,1.09,3
WH-W100843,WH-N100843,West,0.63,1
WH-C100844,WH-S100844,North,1.43,3
WH-N100845,WH-S100845,South,1.43,3
WH-S100846,WH-S100846,East,2.42,2
WH-E100847,WH-S100847,West,1.15,4
WH-W100848,WH-E100848,North,2.33,2
WH-C100849,WH-E100849,South,2.48,1
WH-N100850,WH-E100850,East,2.63,1
WH-S100851,WH-E100851,West,1.58,2
WH-E100852,WH-W100852,North,0.52,4
WH-W100853,WH-W100853,South,0.72,4
WH-C100854,WH-W100854,East,1.39,1
WH-N100855,WH-W100855,West,0.67,3
WH-S100856,WH-C100856,North,1.55,2
WH-E100857,WH-C100857,South,2.48,1
WH-W100858,WH-C100858,East,0.98,3
WH-C100859,WH-C100859,West,1.14,2
WH-N100860,WH-N100860,North,1.08,2
WH-S100861,WH-N100861,South,2.7,2
WH-E100862,WH-N100862,East,1.09,3
WH-W100863,WH-N100863,West,0.63,1
WH-C100864,WH-S100864,North,1.43,3
WH-N100865,WH-S100865,South,1.43,3
WH-S100866,WH-S100866,East,2.42,2
WH-E100867,WH-S100867,West,1.15,4
WH-W100868,WH-E100868,North,2.33,2
WH-C100869,WH-E100869,South,2.48,1
WH-N100870,WH-E100870,East,2.63,1
WH-S100871,WH-E100871,West,1.58,2
WH-E100872,WH-W100872,North,0.52,4
WH-W100873,WH-W100873,South,0.72,4
WH-C100874,WH-W100874,East,1.39,1
WH-N100875,WH-W100875,West,0.67,3
WH-S100876,WH-C100876,North,1.55,2
WH-E100877,WH-C100877,South,2.48,1
WH-W100878,WH-C100878,East,0.98,3
WH-C100879,WH-C100879,West,1.14,2
WH-N100880,WH-N100880,North,1.08,2
WH-S100881,WH-N100881,South,2.7,2
WH-E100882,WH-N100882,East,1.09,3
WH-W100883,WH-N100883,West,0.63,1
WH-C100884,WH-S100884,North,1.43,3
WH-N100885,WH-S100885,South,1.43,3
WH-S100886,WH-S100886,East,2.42,2
WH-E100887,WH-S100887,West,1.15,4
WH-W100888,WH-E100888,North,2.33,2
WH-C100889,WH-E100889,South,2.48,1
WH-N100890,WH-E100890,East,2.63,1
WH-S100891,WH-E100891,West,1.58,2
WH-E100892,WH-W100892,North,0.52,4
WH-W100893,WH-W100893,South,0.72,4
WH-C100894,WH-W100894,East,1.39,1
WH-N100895,WH-W100895,West,0.67,3
WH-S100896,WH-C100896,North,1.55,2
WH-E100897,WH-C100897,South,2.48,1
WH-W100898,WH-C100898,East,0.98,3
WH-C100899,WH-C100899,West,1.14,2
WH-N100900,WH-N100900,North,1.08,2
WH-S100901,WH-N100901,South,2.7,2
WH-E100902,WH-N100902,East,1.09,3
WH-W100903,WH-N100903,West,0.63,1
WH-C100904,WH-S100904,North,1.43,3
WH-N100905,WH-S100905,South,1.43,3
WH-S100906,WH-S100906,East,2.42,2
WH-E100907,WH-S100907,West,1.15,4
WH-W100908,WH-E100908,North,2.33,2
WH-C100909,WH-E100909,South,2.48,1
WH-N100910,WH-E100910,East,2.63,1
WH-S100911,WH-E100911,West,1.58,2
WH-E100912,WH-W100912,North,0.52,4
WH-W100913,WH-W100913,South,0.72,4
WH-C100914,WH-W100914,East,1.39,1
WH-N100915,WH-W100915,West,0.67,3
WH-S100916,WH-C100916,North,1.55,2
WH-E100917,WH-C100917,South,2.48,1
WH-W100918,WH-C100918,East,0.98,3
WH-C100919,WH-C100919,West,1.14,2
WH-N100920,WH-N100920,North,1.08,2
WH-S100921,WH-N100921,South,2.7,2
WH-E100922,WH-N100922,East,1.09,3
WH-W100923,WH-N100923,West,0.63,1
WH-C100924,WH-S100924,North,1.43,3
WH-N100925,WH-S100925,South,1.43,3
WH-S100926,WH-S100926,East,2.42,2
WH-E100927,WH-S100927,West,1.15,4
WH-W100928,WH-E100928,North,2.33,2
WH-C100929,WH-E100929,South,2.48,1
WH-N100930,WH-E100930,East,2.63,1
WH-S100931,WH-E100931,West,1.58,2
WH-E100932,WH-W100932,North,0.52,4
WH-W100933,WH-W100933,South,0.72,4
WH-C100934,WH-W100934,East,1.39,1
WH-N100935,WH-W100935,West,0.67,3
WH-S100936,WH-C100936,North,1.55,2
WH-E100937,WH-C100937,South,2.48,1
WH-W100938,WH-C100938,East,0.98,3
WH-C100939,WH-C100939,West,1.14,2
WH-N100940,WH-N100940,North,1.08,2
WH-S100941,WH-N100941,South,2.7,2
WH-E100942,WH-N100942,East,1.09,3
WH-W100943,WH-N100943,West,0.63,1
WH-C100944,WH-S100944,North,1.43,3
WH-N100945,WH-S100945,South,1.43,3
WH-S100946,WH-S100946,East,2.42,2
WH-E100947,WH-S100947,West,1.15,4
WH-W100948,WH-E100948,North,2.33,2
WH-C100949,WH-E100949,South,2.48,1
WH-N100950,WH-E100950,East,2.63,1
WH-S100951,WH-E100951,West,1.58,2
WH-E100952,WH-W100952,North,0.52,4
WH-W100953,WH-W100953,South,0.72,4
WH-C100954,WH-W100954,East,1.39,1
WH-N100955,WH-W100955,West,0.67,3
WH-S100956,WH-C100956,North,1.55,2
WH-E100957,WH-C100957,South,2.48,1
WH-W100958,WH-C100958,East,0.98,3
WH-C100959,WH-C100959,West,1.14,2
WH-N100960,WH-N100960,North,1.08,2
WH-S100961,WH-N100961,South,2.7,2
WH-E100962,WH-N100962,East,1.09,3
WH-W100963,WH-N100963,West,0.63,1
WH-C100964,WH-S100964,North,1.43,3
WH-N100965,WH-S100965,South,1.43,3
WH-S100966,WH-S100966,East,2.42,2
WH-E100967,WH-S100967,West,1.15,4
WH-W100968,WH-E100968,North,2.33,2
WH-C100969,WH-E100969,South,2.48,1
WH-N100970,WH-E100970,East,2.63,1
WH-S100971,WH-E100971,West,1.58,2
WH-E100972,WH-W100972,North,0.52,4
WH-W100973,WH-W100973,South,0.72,4
WH-C100974,WH-W100974,East,1.39,1
WH-N100975,WH-W100975,West,0.67,3
WH-S100976,WH-C100976,North,1.55,2
WH-E100977,WH-C100977,South,2.48,1
WH-W100978,WH-C100978,East,0.98,3
WH-C100979,WH-C100979,West,1.14,2
WH-N100980,WH-N100980,North,1.08,2
WH-S100981,WH-N100981,South,2.7,2
WH-E100982,WH-N100982,East,1.09,3
WH-W100983,WH-N100983,West,0.63,1
WH-C100984,WH-S100984,North,1.43,3
WH-N100985,WH-S100985,South,1.43,3
WH-S100986,WH-S100986,East,2.42,2
WH-E100987,WH-S100987,West,1.15,4
WH-W100988,WH-E100988,North,2.33,2
WH-C100989,WH-E100989,South,2.48,1
WH-N100990,WH-E100990,East,2.63,1
WH-S100991,WH-E100991,West,1.58,2
WH-E100992,WH-W100992,North,0.52,4
WH-W100993,WH-W100993,South,0.72,4
WH-C100994,WH-W100994,East,1.39,1
WH-N100995,WH-W100995,West,0.67,3
WH-S100996,WH-C100996,North,1.55,2
WH-E100997,WH-C100997,South,2.48,1
WH-W100998,WH-C100998,East,0.98,3
WH-C100999,WH-C100999,West,1.14,2
WH-N101000,WH-N101000,North,1.08,2
WH-S101001,WH-N101001,South,2.7,2
WH-E101002,WH-N101002,East,1.09,3
WH-W101003,WH-N101003,West,0.63,1
WH-C101004,WH-S101004,North,1.43,3
WH-N101005,WH-S101005,South,1.43,3
WH-S101006,WH-S101006,East,2.42,2
WH-E101007,WH-S101007,West,1.15,4
WH-W101008,WH-E101008,North,2.33,2
WH-C101009,WH-E101009,South,2.48,1
WH-N101010,WH-E101010,East,2.63,1
WH-S101011,WH-E101011,West,1.58,2
WH-E101012,WH-W101012,North,0.52,4
WH-W101013,WH-W101013,South,0.72,4
WH-C101014,WH-W101014,East,1.39,1
WH-N101015,WH-W101015,West,0.67,3
WH-S101016,WH-C101016,North,1.55,2
WH-E101017,WH-C101017,South,2.48,1
WH-W101018,WH-C101018,East,0.98,3
WH-C101019,WH-C101019,West,1.14,2
WH-N101020,WH-N101020,North,1.08,2
WH-S101021,WH-N101021,South,2.7,2
WH-E101022,WH-N101022,East,1.09,3
WH-W101023,WH-N101023,West,0.63,1
WH-C101024,WH-S101024,North,1.43,3
WH-N101025,WH-S101025,South,1.43,3
WH-S101026,WH-S101026,East,2.42,2
WH-E101027,WH-S101027,West,1.15,4
WH-W101028,WH-E101028,North,2.33,2
WH-C101029,WH-E101029,South,2.48,1
WH-N101030,WH-E101030,East,2.63,1
WH-S101031,WH-E101031,West,1.58,2
WH-E101032,WH-W101032,North,0.52,4
WH-W101033,WH-W101033,South,0.72,4
WH-C101034,WH-W101034,East,1.39,1
WH-N101035,WH-W101035,West,0.67,3
WH-S101036,WH-C101036,North,1.55,2
WH-E101037,WH-C101037,South,2.48,1
WH-W101038,WH-C101038,East,0.98,3
WH-C101039,WH-C101039,West,1.14,2
WH-N101040,WH-N101040,North,1.08,2
WH-S101041,WH-N101041,South,2.7,2
WH-E101042,WH-N101042,East,1.09,3
WH-W101043,WH-N101043,West,0.63,1
WH-C101044,WH-S101044,North,1.43,3
WH-N101045,WH-S101045,South,1.43,3
WH-S101046,WH-S101046,East,2.42,2
WH-E101047,WH-S101047,West,1.15,4
WH-W101048,WH-E101048,North,2.33,2
WH-C101049,WH-E101049,South,2.48,1
WH-N101050,WH-E101050,East,2.63,1
WH-S101051,WH-E101051,West,1.58,2
WH-E101052,WH-W101052,North,0.52,4
WH-W101053,WH-W101053,South,0.72,4
WH-C101054,WH-W101054,East,1.39,1
WH-N101055,WH-W101055,West,0.67,3
WH-S101056,WH-C101056,North,1.55,2
WH-E101057,WH-C101057,South,2.48,1
WH-W101058,WH-C101058,East,0.98,3
WH-C101059,WH-C101059,West,1.14,2
WH-N101060,WH-N101060,North,1.08,2
WH-S101061,WH-N101061,South,2.7,2
WH-E101062,WH-N101062,East,1.09,3
WH-W101063,WH-N101063,West,0.63,1
WH-C101064,WH-S101064,North,1.43,3
WH-N101065,WH-S101065,South,1.43,3
WH-S101066,WH-S101066,East,2.42,2
WH-E101067,WH-S101067,West,1.15,4
WH-W101068,WH-E101068,North,2.33,2
WH-C101069,WH-E101069,South,2.48,1
WH-N101070,WH-E101070,East,2.63,1
WH-S101071,WH-E101071,West,1.58,2
WH-E101072,WH-W101072,North,0.52,4
WH-W101073,WH-W101073,South,0.72,4
WH-C101074,WH-W101074,East,1.39,1
WH-N101075,WH-W101075,West,0.67,3
WH-S101076,WH-C101076,North,1.55,2
WH-E101077,WH-C101077,South,2.48,1
WH-W101078,WH-C101078,East,0.98,3
WH-C101079,WH-C101079,West,1.14,2
WH-N101080,WH-N101080,North,1.08,2
WH-S101081,WH-N101081,South,2.7,2
WH-E101082,WH-N101082,East,1.09,3
WH-W101083,WH-N101083,West,0.63,1
WH-C101084,WH-S101084,North,1.43,3
WH-N101085,WH-S101085,South,1.43,3
WH-S101086,WH-S101086,East,2.42,2
WH-E101087,WH-S101087,West,1.15,4
WH-W101088,WH-E101088,North,2.33,2
WH-C101089,WH-E101089,South,2.48,1
WH-N101090,WH-E101090,East,2.63,1
WH-S101091,WH-E101091,West,1.58,2
WH-E101092,WH-W101092,North,0.52,4
WH-W101093,WH-W101093,South,0.72,4
WH-C101094,WH-W101094,East,1.39,1
WH-N101095,WH-W101095,West,0.67,3
WH-S101096,WH-C101096,North,1.55,2
WH-E101097,WH-C101097,South,2.48,1
WH-W101098,WH-C101098,East,0.98,3
WH-C101099,WH-C101099,West,1.14,2
WH-N101100,WH-N101100,North,1.08,2
WH-S101101,WH-N101101,South,2.7,2
WH-E101102,WH-N101102,East,1.09,3
WH-W101103,WH-N101103,West,0.63,1
WH-C101104,WH-S101104,North,1.43,3
WH-N101105,WH-S101105,South,1.43,3
WH-S101106,WH-S101106,East,2.42,2
WH-E101107,WH-S101107,West,1.15,4
WH-W101108,WH-E101108,North,2.33,2
WH-C101109,WH-E101109,South,2.48,1
WH-N101110,WH-E101110,East,2.63,1
WH-S101111,WH-E101111,West,1.58,2
WH-E101112,WH-W101112,North,0.52,4
WH-W101113,WH-W101113,South,0.72,4
WH-C101114,WH-W101114,East,1.39,1
WH-N101115,WH-W101115,West,0.67,3
WH-S101116,WH-C101116,North,1.55,2
WH-E101117,WH-C101117,South,2.48,1
WH-W101118,WH-C101118,East,0.98,3
WH-C101119,WH-C101119,West,1.14,2
WH-N101120,WH-N101120,North,1.08,2
WH-S101121,WH-N101121,South,2.7,2
WH-E101122,WH-N101122,East,1.09,3
WH-W101123,WH-N101123,West,0.63,1
WH-C101124,WH-S101124,North,1.43,3
WH-N101125,WH-S101125,South,1.43,3
WH-S101126,WH-S101126,East,2.42,2
WH-E101127,WH-S101127,West,1.15,4
WH-W101128,WH-E101128,North,2.33,2
WH-C101129,WH-E101129,South,2.48,1
WH-N101130,WH-E101130,East,2.63,1
WH-S101131,WH-E101131,West,1.58,2
WH-E101132,WH-W101132,North,0.52,4
WH-W101133,WH-W101133,South,0.72,4
WH-C101134,WH-W101134,East,1.39,1
WH-N101135,WH-W101135,West,0.67,3
WH-S101136,WH-C101136,North,1.55,2
WH-E101137,WH-C101137,South,2.48,1
WH-W101138,WH-C101138,East,0.98,3
WH-C101139,WH-C101139,West,1.14,2
WH-N101140,WH-N101140,North,1.08,2
WH-S101141,WH-N101141,South,2.7,2
WH-E101142,WH-N101142,East,1.09,3
WH-W101143,WH-N101143,West,0.63,1
WH-C101144,WH-S101144,North,1.43,3
WH-N101145,WH-S101145,South,1.43,3
WH-S101146,WH-S101146,East,2.42,2
WH-E101147,WH-S101147,West,1.15,4
WH-W101148,WH-E101148,North,2.33,2
WH-C101149,WH-E101149,South,2.48,1
WH-N101150,WH-E101150,East,2.63,1
WH-S101151,WH-E101151,West,1.58,2
WH-E101152,WH-W101152,North,0.52,4
WH-W101153,WH-W101153,South,0.72,4
WH-C101154,WH-W101154,East,1.39,1
WH-N101155,WH-W101155,West,0.67,3
WH-S101156,WH-C101156,North,1.55,2
WH-E101157,WH-C101157,South,2.48,1
WH-W101158,WH-C101158,East,0.98,3
WH-C101159,WH-C101159,West,1.14,2
WH-N101160,WH-N101160,North,1.08,2
WH-S101161,WH-N101161,South,2.7,2
WH-E101162,WH-N101162,East,1.09,3
WH-W101163,WH-N101163,West,0.63,1
WH-C101164,WH-S101164,North,1.43,3
WH-N101165,WH-S101165,South,1.43,3
WH-S101166,WH-S101166,East,2.42,2
WH-E101167,WH-S101167,West,1.15,4
WH-W101168,WH-E101168,North,2.33,2
WH-C101169,WH-E101169,South,2.48,1
WH-N101170,WH-E101170,East,2.63,1
WH-S101171,WH-E101171,West,1.58,2
WH-E101172,WH-W101172,North,0.52,4
WH-W101173,WH-W101173,South,0.72,4
WH-C101174,WH-W101174,East,1.39,1
WH-N101175,WH-W101175,West,0.67,3
WH-S101176,WH-C101176,North,1.55,2
WH-E101177,WH-C101177,South,2.48,1
WH-W101178,WH-C101178,East,0.98,3
WH-C101179,WH-C101179,West,1.14,2
WH-N101180,WH-N101180,North,1.08,2
WH-S101181,WH-N101181,South,2.7,2
WH-E101182,WH-N101182,East,1.09,3
WH-W101183,WH-N101183,West,0.63,1
WH-C101184,WH-S101184,North,1.43,3
WH-N101185,WH-S101185,South,1.43,3
WH-S101186,WH-S101186,East,2.42,2
WH-E101187,WH-S101187,West,1.15,4
WH-W101188,WH-E101188,North,2.33,2
WH-C101189,WH-E101189,South,2.48,1
WH-N101190,WH-E101190,East,2.63,1
WH-S101191,WH-E101191,West,1.58,2
WH-E101192,WH-W101192,North,0.52,4
WH-W101193,WH-W101193,South,0.72,4
WH-C101194,WH-W101194,East,1.39,1
WH-N101195,WH-W101195,West,0.67,3
WH-S101196,WH-C101196,North,1.55,2
WH-E101197,WH-C101197,South,2.48,1
WH-W101198,WH-C101198,East,0.98,3
WH-C101199,WH-C101199,West,1.14,2
WH-N101200,WH-N101200,North,1.08,2
WH-S101201,WH-N101201,South,2.7,2
WH-E101202,WH-N101202,East,1.09,3
WH-W101203,WH-N101203,West,0.63,1
WH-C101204,WH-S101204,North,1.43,3
WH-N101205,WH-S101205,South,1.43,3
WH-S101206,WH-S101206,East,2.42,2
WH-E101207,WH-S101207,West,1.15,4
WH-W101208,WH-E101208,North,2.33,2
WH-C101209,WH-E101209,South,2.48,1
WH-N101210,WH-E101210,East,2.63,1
WH-S101211,WH-E101211,West,1.58,2
WH-E101212,WH-W101212,North,0.52,4
WH-W101213,WH-W101213,South,0.72,4
WH-C101214,WH-W101214,East,1.39,1
WH-N101215,WH-W101215,West,0.67,3
WH-S101216,WH-C101216,North,1.55,2
WH-E101217,WH-C101217,South,2.48,1
WH-W101218,WH-C101218,East,0.98,3
WH-C101219,WH-C101219,West,1.14,2
WH-N101220,WH-N101220,North,1.08,2
WH-S101221,WH-N101221,South,2.7,2
WH-E101222,WH-N101222,East,1.09,3
WH-W101223,WH-N101223,West,0.63,1
WH-C101224,WH-S101224,North,1.43,3
WH-N101225,WH-S101225,South,1.43,3
WH-S101226,WH-S101226,East,2.42,2
WH-E101227,WH-S101227,West,1.15,4
WH-W101228,WH-E101228,North,2.33,2
WH-C101229,WH-E101229,South,2.48,1
WH-N101230,WH-E101230,East,2.63,1
WH-S101231,WH-E101231,West,1.58,2
WH-E101232,WH-W101232,North,0.52,4
WH-W101233,WH-W101233,South,0.72,4
WH-C101234,WH-W101234,East,1.39,1
WH-N101235,WH-W101235,West,0.67,3
WH-S101236,WH-C101236,North,1.55,2
WH-E101237,WH-C101237,South,2.48,1
WH-W101238,WH-C101238,East,0.98,3
WH-C101239,WH-C101239,West,1.14,2
WH-N101240,WH-N101240,North,1.08,2
WH-S101241,WH-N101241,South,2.7,2
WH-E101242,WH-N101242,East,1.09,3
WH-W101243,WH-N101243,West,0.63,1
WH-C101244,WH-S101244,North,1.43,3
WH-N101245,WH-S101245,South,1.43,3
WH-S101246,WH-S101246,East,2.42,2
WH-E101247,WH-S101247,West,1.15,4
WH-W101248,WH-E101248,North,2.33,2
WH-C101249,WH-E101249,South,2.48,1
WH-N101250,WH-E101250,East,2.63,1
WH-S101251,WH-E101251,West,1.58,2
WH-E101252,WH-W101252,North,0.52,4
WH-W101253,WH-W101253,South,0.72,4
WH-C101254,WH-W101254,East,1.39,1
WH-N101255,WH-W101255,West,0.67,3
WH-S101256,WH-C101256,North,1.55,2
WH-E101257,WH-C101257,South,2.48,1
WH-W101258,WH-C101258,East,0.98,3
WH-C101259,WH-C101259,West,1.14,2
WH-N101260,WH-N101260,North,1.08,2
WH-S101261,WH-N101261,South,2.7,2
WH-E101262,WH-N101262,East,1.09,3
WH-W101263,WH-N101263,West,0.63,1
WH-C101264,WH-S101264,North,1.43,3
WH-N101265,WH-S101265,South,1.43,3
